,indicator,year,sex,race_ethnicity,value,place,95pc_con_lvl-low,95pc_con_lvl-high
18539,Percent of Adults Who Received Seasonal Flu Shot,2010,Both,Other,52.0,"Seattle, WA",28.0,75.0
18540,Percent of Adults Who Received Seasonal Flu Shot,2010,Both,White,48.0,"Charlotte, NC",41.2,54.7
18541,Percent of Adults Who Received Seasonal Flu Shot,2010,Both,White,49.0,"Seattle, WA",43.0,56.0
18542,Percent of Adults Who Received Seasonal Flu Shot,2010,Female,All,43.0,"Charlotte, NC",36.1,49.8
18543,Percent of Adults Who Received Seasonal Flu Shot,2010,Female,All,53.0,"Seattle, WA",46.0,60.0
18544,Percent of Adults Who Received Seasonal Flu Shot,2010,Male,All,36.1,"Charlotte, NC",27.4,44.8
18545,Percent of Adults Who Received Seasonal Flu Shot,2010,Male,All ,45.0,"Seattle, WA",38.0,53.0
18546,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,All,26.2,"Las Vegas (Clark County), NV",23.5,28.9
18547,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,All,26.4,"Detroit, MI",21.9,31.6
18550,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,All,33.1,"Houston, TX",30.5,35.8
18551,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,All,34.6,"Charlotte, NC",29.9,39.2
18552,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,All,36.0,"San Diego County, CA",32.2,39.8
18553,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,All,36.0,"San Francisco, CA",30.3,41.8
18554,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,All,36.1,"Columbus, OH",28.9,43.2
18555,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,All,37.6,"San Antonio, TX",33.3,42.1
18559,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,All,38.8,"U.S. Total, U.S. Total",38.4,39.2
18562,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,American Indian/Alaska Native,42.6,"U.S. Total, U.S. Total",37.7,47.5
18565,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Asian/PI,29.0,"Las Vegas (Clark County), NV",17.8,40.2
18566,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Asian/PI,31.2,"San Francisco, CA",18.9,43.6
18567,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Asian/PI,34.9,"San Diego County, CA",17.7,52.0
18569,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Asian/PI,37.3,"U.S. Total, U.S. Total",33.8,40.8
18574,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Black,23.1,"Las Vegas (Clark County), NV",14.8,31.4
18575,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Black,24.6,"Detroit, MI",20.0,30.0
18576,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Black,25.8,"Charlotte, NC",17.4,34.3
18577,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Black,27.7,"Columbus, OH",13.0,42.4
18578,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Black,29.0,"Houston, TX",22.5,36.4
18580,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Black,32.7,"U.S. Total, U.S. Total",31.1,34.3
18581,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Black,35.3,"San Antonio, TX",21.0,52.8
18588,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Hispanic,18.5,"Las Vegas (Clark County), NV",13.1,24.0
18591,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Hispanic,26.4,"Houston, TX",21.4,32.1
18592,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Hispanic,29.4,"U.S. Total, U.S. Total",27.8,31.0
18593,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Hispanic,29.5,"San Diego County, CA",22.1,37.0
18596,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Hispanic,32.8,"San Antonio, TX",26.6,39.7
18599,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Hispanic,52.3,"San Francisco, CA",36.9,67.7
18602,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Multiracial,37.0,"Houston, TX",28.1,46.9
18605,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,Other,26.3,"Las Vegas (Clark County), NV",11.6,41.1
18612,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,White,30.3,"Las Vegas (Clark County), NV",26.8,33.8
18613,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,White,31.9,"Detroit, MI",18.7,49.0
18615,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,White,36.3,"San Francisco, CA",27.9,44.6
18616,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,White,39.0,"Houston, TX",35.5,42.6
18618,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,White,39.6,"San Diego County, CA",35.5,43.7
18619,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,White,40.7,"Columbus, OH",32.0,49.3
18621,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,White,41.9,"U.S. Total, U.S. Total",41.5,42.3
18624,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,White,44.3,"Charlotte, NC",38.0,50.6
18625,Percent of Adults Who Received Seasonal Flu Shot,2011,Both,White,44.8,"San Antonio, TX",38.7,51.0
18628,Percent of Adults Who Received Seasonal Flu Shot,2011,Female,All,29.4,"Detroit, MI",23.1,36.7
18629,Percent of Adults Who Received Seasonal Flu Shot,2011,Female,All,29.6,"Las Vegas (Clark County), NV",25.6,33.6
18631,Percent of Adults Who Received Seasonal Flu Shot,2011,Female,All,34.0,"Charlotte, NC",26.8,41.3
18632,Percent of Adults Who Received Seasonal Flu Shot,2011,Female,All,35.0,"San Francisco, CA",27.3,42.7
18634,Percent of Adults Who Received Seasonal Flu Shot,2011,Female,All,37.5,"San Antonio, TX",32.3,42.9
18636,Percent of Adults Who Received Seasonal Flu Shot,2011,Female,All,38.0,"Columbus, OH",28.7,47.3
18637,Percent of Adults Who Received Seasonal Flu Shot,2011,Female,All,38.3,"Houston, TX",34.8,42.1
18638,Percent of Adults Who Received Seasonal Flu Shot,2011,Female,All,38.6,"San Diego County, CA",33.3,44.0
18641,Percent of Adults Who Received Seasonal Flu Shot,2011,Female,All,42.0,"U.S. Total, U.S. Total",41.4,42.6
18644,Percent of Adults Who Received Seasonal Flu Shot,2011,Male,All,22.9,"Las Vegas (Clark County), NV",19.3,26.5
18645,Percent of Adults Who Received Seasonal Flu Shot,2011,Male,All,23.2,"Detroit, MI",17.1,30.6
18646,Percent of Adults Who Received Seasonal Flu Shot,2011,Male,All,27.8,"Houston, TX",24.1,31.8
18649,Percent of Adults Who Received Seasonal Flu Shot,2011,Male,All,32.8,"San Diego County, CA",27.9,37.8
18651,Percent of Adults Who Received Seasonal Flu Shot,2011,Male,All,34.0,"Columbus, OH",23.0,44.9
18653,Percent of Adults Who Received Seasonal Flu Shot,2011,Male,All,34.9,"Charlotte, NC",29.0,40.9
18654,Percent of Adults Who Received Seasonal Flu Shot,2011,Male,All,35.4,"U.S. Total, U.S. Total",34.6,36.2
18655,Percent of Adults Who Received Seasonal Flu Shot,2011,Male,All,36.9,"San Francisco, CA",27.6,46.2
18656,Percent of Adults Who Received Seasonal Flu Shot,2011,Male,All,37.8,"San Antonio, TX",30.9,45.2
18661,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,All,23.1,"Detroit, MI",19.0,27.7
18662,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,All,27.6,"Las Vegas (Clark County), NV",25.2,30.0
18663,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,All,32.8,"Houston, TX",29.4,36.4
18664,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,All,36.8,"San Diego County, CA",34.2,39.4
18666,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,All,37.3,"San Francisco, CA",30.2,44.4
18667,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,All,37.4,"Charlotte, NC",33.1,41.7
18668,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,All,37.5,"San Antonio, TX",32.0,43.3
18670,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,All,40.2,"Columbus, OH",33.6,46.7
18675,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Asian/PI,32.6,"Las Vegas (Clark County), NV",20.8,44.4
18676,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Asian/PI,34.2,"San Diego County, CA",23.0,45.3
18678,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Asian/PI,43.6,"San Francisco, CA",31.8,55.5
18682,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Black,21.6,"Detroit, MI",17.3,26.7
18683,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Black,22.2,"Las Vegas (Clark County), NV",14.9,29.6
18684,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Black,27.4,"Houston, TX",19.6,36.8
18685,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Black,28.6,"San Diego County, CA",15.1,42.2
18686,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Black,31.6,"Charlotte, NC",22.9,40.3
18688,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Black,34.4,"Columbus, OH",19.2,49.6
18694,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Hispanic,21.4,"Houston, TX",16.0,28.1
18696,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Hispanic,22.7,"Las Vegas (Clark County), NV",18.1,27.4
18698,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Hispanic,30.7,"San Diego County, CA",26.0,35.5
18700,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Hispanic,33.8,"San Antonio, TX",25.8,42.9
18706,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Multiracial,30.8,"Houston, TX",18.6,46.3
18707,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Other,18.0,"Las Vegas (Clark County), NV",8.4,27.6
18710,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,Other,35.3,"San Diego County, CA",17.5,53.1
18715,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,White,31.2,"Las Vegas (Clark County), NV",28.1,34.3
18716,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,White,33.7,"Detroit, MI",21.2,49.0
18718,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,White,37.3,"San Antonio, TX",30.0,45.3
18720,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,White,39.5,"San Francisco, CA",27.0,52.0
18721,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,White,41.6,"San Diego County, CA",37.9,45.3
18722,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,White,41.8,"Charlotte, NC",35.7,46.7
18723,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,White,43.8,"Columbus, OH",36.1,51.5
18724,Percent of Adults Who Received Seasonal Flu Shot,2012,Both,White,44.8,"Houston, TX",39.7,50.1
18730,Percent of Adults Who Received Seasonal Flu Shot,2012,Female,All,23.8,"Detroit, MI",19.0,29.4
18731,Percent of Adults Who Received Seasonal Flu Shot,2012,Female,All,28.9,"Las Vegas (Clark County), NV",25.6,32.2
18732,Percent of Adults Who Received Seasonal Flu Shot,2012,Female,All,34.2,"Houston, TX",29.5,39.3
18734,Percent of Adults Who Received Seasonal Flu Shot,2012,Female,All,39.6,"San Antonio, TX",31.8,47.9
18737,Percent of Adults Who Received Seasonal Flu Shot,2012,Female,All,41.4,"San Diego County, CA",38.1,44.7
18738,Percent of Adults Who Received Seasonal Flu Shot,2012,Female,All,41.9,"Charlotte, NC",35.9,47.9
18739,Percent of Adults Who Received Seasonal Flu Shot,2012,Female,All,44.6,"Columbus, OH",35.5,53.6
18742,Percent of Adults Who Received Seasonal Flu Shot,2012,Female,All,47.9,"San Francisco, CA",38.2,57.6
18743,Percent of Adults Who Received Seasonal Flu Shot,2012,Male,All,22.2,"Detroit, MI",15.7,30.4
18744,Percent of Adults Who Received Seasonal Flu Shot,2012,Male,All,26.3,"Las Vegas (Clark County), NV",22.8,29.9
18746,Percent of Adults Who Received Seasonal Flu Shot,2012,Male,All,31.3,"Houston, TX",26.4,36.5
18747,Percent of Adults Who Received Seasonal Flu Shot,2012,Male,All,31.8,"San Francisco, CA",21.8,41.8
18748,Percent of Adults Who Received Seasonal Flu Shot,2012,Male,All,32.0,"Charlotte, NC",25.9,38.1
18750,Percent of Adults Who Received Seasonal Flu Shot,2012,Male,All,35.4,"San Antonio, TX",27.9,43.7
18751,Percent of Adults Who Received Seasonal Flu Shot,2012,Male,All,35.7,"Columbus, OH",26.3,45.0
18759,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,All,28.9,"Las Vegas (Clark County), NV",25.9,31.9
18760,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,All,29.8,"Detroit, MI",24.6,35.5
18761,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,All,32.6,"Indianapolis (Marion County), IN",29.4,35.8
18762,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,All,33.9,"Houston, TX",29.9,38.2
18763,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,All,35.3,"San Diego County, CA",29.8,40.8
18764,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,All,36.3,"Charlotte, NC",31.3,41.3
18765,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,All,38.5,"San Antonio, TX",33.8,43.4
18771,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,All,45.6,"Columbus, OH",39.6,51.7
18772,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,All,49.4,"Boston, MA",47.3,51.6
18775,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,Asian/PI,24.9,"Las Vegas (Clark County), NV",14.5,35.3
18777,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,Asian/PI,46.4,"Boston, MA",38.4,54.3
18784,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,Black,23.6,"Las Vegas (Clark County), NV",14.7,32.5
18785,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,Black,23.7,"Indianapolis (Marion County), IN",17.4,30.0
18786,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,Black,28.5,"Detroit, MI",22.8,35.0
18787,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,Black,31.4,"Houston, TX",21.1,43.9
18789,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,Black,32.0,"Charlotte, NC",22.3,41.7
18791,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,Black,35.4,"Columbus, OH",24.7,46.1
18795,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,Black,43.3,"Boston, MA",39.4,47.2
18799,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,Hispanic,23.6,"Las Vegas (Clark County), NV",16.6,30.6
18801,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,Hispanic,27.7,"Houston, TX",20.7,36.1
18804,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,Hispanic,34.2,"San Diego County, CA",22.4,45.9
18808,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,Hispanic,51.5,"Boston, MA",46.6,56.4
18812,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,Multiracial,40.9,"Houston, TX",25.9,57.7
18813,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,Other,12.9,"Las Vegas (Clark County), NV",3.6,22.2
18821,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,White,34.5,"Las Vegas (Clark County), NV",30.7,38.2
18823,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,White,36.6,"Indianapolis (Marion County), IN",32.6,40.6
18825,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,White,38.2,"San Diego County, CA",31.9,44.6
18826,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,White,38.6,"Houston, TX",33.1,44.4
18827,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,White,39.2,"Detroit, MI",25.6,54.6
18830,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,White,46.1,"Charlotte, NC",38.9,53.4
18834,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,White,50.5,"Columbus, OH",42.8,58.1
18835,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,White,52.0,"Boston, MA",48.7,55.4
18836,Percent of Adults Who Received Seasonal Flu Shot,2013,Both,White,52.5,"San Antonio, TX",45.0,59.9
18840,Percent of Adults Who Received Seasonal Flu Shot,2013,Female,All,30.8,"Las Vegas (Clark County), NV",26.8,34.9
18841,Percent of Adults Who Received Seasonal Flu Shot,2013,Female,All,32.6,"San Diego County, CA",25.6,39.6
18842,Percent of Adults Who Received Seasonal Flu Shot,2013,Female,All,35.6,"Detroit, MI",28.4,43.5
18843,Percent of Adults Who Received Seasonal Flu Shot,2013,Female,All,37.2,"Indianapolis (Marion County), IN",32.7,41.6
18844,Percent of Adults Who Received Seasonal Flu Shot,2013,Female,All,37.7,"Houston, TX",31.9,43.8
18845,Percent of Adults Who Received Seasonal Flu Shot,2013,Female,All,38.7,"San Antonio, TX",32.8,45.0
18847,Percent of Adults Who Received Seasonal Flu Shot,2013,Female,All,40.5,"Charlotte, NC",33.3,47.8
18853,Percent of Adults Who Received Seasonal Flu Shot,2013,Female,All,49.3,"Columbus, OH",41.0,57.5
18854,Percent of Adults Who Received Seasonal Flu Shot,2013,Female,All,53.2,"Boston, MA",50.3,56.1
18856,Percent of Adults Who Received Seasonal Flu Shot,2013,Male,All,22.9,"Detroit, MI",16.3,31.1
18858,Percent of Adults Who Received Seasonal Flu Shot,2013,Male,All,27.0,"Las Vegas (Clark County), NV",22.7,31.3
18859,Percent of Adults Who Received Seasonal Flu Shot,2013,Male,All,27.5,"Indianapolis (Marion County), IN",22.9,32.0
18860,Percent of Adults Who Received Seasonal Flu Shot,2013,Male,All,29.7,"Houston, TX",24.2,35.9
18861,Percent of Adults Who Received Seasonal Flu Shot,2013,Male,All,31.3,"Charlotte, NC",24.6,38.0
18865,Percent of Adults Who Received Seasonal Flu Shot,2013,Male,All,38.2,"San Antonio, TX",30.9,46.1
18866,Percent of Adults Who Received Seasonal Flu Shot,2013,Male,All,38.5,"San Diego County, CA",30.0,47.1
18868,Percent of Adults Who Received Seasonal Flu Shot,2013,Male,All,41.3,"Columbus, OH",32.3,50.2
18871,Percent of Adults Who Received Seasonal Flu Shot,2013,Male,All,45.2,"Boston, MA",42.0,48.5
18872,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,All,0.6,"Oakland (Alameda County), CA",46.5,63.7
18874,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,All,23.6,"Detroit, MI",19.1,28.8
18875,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,All,32.2,"Las Vegas (Clark County), NV",29.1,35.4
18876,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,All,35.1,"Indianapolis (Marion County), IN",32.0,38.1
18877,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,All,36.7,"Kansas City, MO",30.5,42.9
18878,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,All,39.7,"San Antonio, TX",36.4,43.1
18879,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,All,40.0,"Portland (Multnomah County), OR",35.7,44.2
18880,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,All,40.1,"Columbus, OH",33.2,46.9
18881,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,All,43.5,"New York City, NY",42.1,45.0
18882,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,All,43.6,"Denver, CO",40.1,47.0
18883,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,All,43.6,"San Diego County, CA",39.8,47.4
18884,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,All,43.6,"U.S. Total, U.S. Total",43.2,44.0
18885,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,All,54.7,"San Francisco, CA",45.3,64.1
18886,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,All ,44.0,"Seattle, WA",39.0,48.0
18887,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,American Indian/Alaska Native,40.7,"U.S. Total, U.S. Total",36.6,44.8
18888,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Asian/PI,0.6,"Oakland (Alameda County), CA",43.6,75.8
18889,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Asian/PI,37.3,"Las Vegas (Clark County), NV",23.4,51.2
18890,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Asian/PI,39.0,"Seattle, WA",25.0,54.0
18891,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Asian/PI,42.6,"New York City, NY",38.5,46.8
18892,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Asian/PI,43.5,"San Diego County, CA",29.6,57.4
18893,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Asian/PI,44.4,"U.S. Total, U.S. Total",40.7,48.1
18894,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Asian/PI,76.1,"San Francisco, CA",62.5,89.9
18897,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Black,0.6,"Oakland (Alameda County), CA",39.8,78.4
18898,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Black,22.6,"Detroit, MI",17.8,28.3
18899,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Black,25.0,"Seattle, WA",11.0,47.0
18900,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Black,25.8,"Las Vegas (Clark County), NV",16.6,35.0
18901,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Black,27.5,"Columbus, OH",15.8,39.3
18902,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Black,28.9,"Charlotte, NC",20.0,37.7
18903,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Black,29.7,"Indianapolis (Marion County), IN",23.3,36.2
18904,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Black,34.0,"San Antonio, TX",23.7,46.1
18905,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Black,38.7,"U.S. Total, U.S. Total",37.1,40.3
18906,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Black,40.6,"New York City, NY",37.5,43.7
18907,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Black,46.8,"San Diego County, CA",22.5,71.2
18908,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Black,47.3,"Denver, CO",35.8,58.8
18910,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Hispanic,29.7,"Las Vegas (Clark County), NV",22.9,36.5
18911,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Hispanic,33.1,"San Diego County, CA",25.7,40.5
18912,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Hispanic,34.0,"Seattle, WA",17.0,57.0
18913,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Hispanic,35.0,"U.S. Total, U.S. Total",33.2,36.8
18914,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Hispanic,38.2,"San Antonio, TX",33.4,43.3
18915,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Hispanic,42.2,"Denver, CO",35.5,48.9
18916,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Hispanic,44.7,"New York City, NY",42.0,47.4
18917,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Hispanic,47.0,"Oakland (Alameda County), CA",26.8,67.3
18921,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Other,23.9,"Las Vegas (Clark County), NV",10.0,37.9
18922,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Other,29.0,"Seattle, WA",10.0,60.0
18923,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Other,33.0,"New York City, NY",24.1,43.4
18924,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,Other,47.7,"Oakland (Alameda County), CA",13.9,81.6
18931,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,White,0.6,"Oakland (Alameda County), CA",45.0,69.0
18932,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,White,33.8,"Las Vegas (Clark County), NV",30.0,37.5
18933,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,White,38.2,"Indianapolis (Marion County), IN",34.4,42.0
18934,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,White,45.0,"San Antonio, TX",40.1,50.0
18935,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,White,45.1,"New York City, NY",42.3,47.9
18936,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,White,45.6,"Columbus, OH",37.0,54.3
18937,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,White,45.8,"Charlotte, NC",39.0,52.5
18938,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,White,46.5,"Denver, CO",42.0,50.9
18939,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,White,46.7,"U.S. Total, U.S. Total",47.1,47.3
18940,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,White,48.0,"Seattle, WA",43.0,53.0
18941,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,White,49.2,"San Francisco, CA",36.3,62.2
18942,Percent of Adults Who Received Seasonal Flu Shot,2014,Both,White,49.9,"San Diego County, CA",44.4,55.4
18943,Percent of Adults Who Received Seasonal Flu Shot,2014,Female,All,0.5,"Oakland (Alameda County), CA",35.2,58.3
18945,Percent of Adults Who Received Seasonal Flu Shot,2014,Female,All,27.3,"Detroit, MI",20.8,34.8
18946,Percent of Adults Who Received Seasonal Flu Shot,2014,Female,All,33.9,"Las Vegas (Clark County), NV",29.5,38.3
18947,Percent of Adults Who Received Seasonal Flu Shot,2014,Female,All,36.6,"Indianapolis (Marion County), IN",32.6,40.7
18948,Percent of Adults Who Received Seasonal Flu Shot,2014,Female,All,41.3,"Charlotte, NC",34.6,48.0
18949,Percent of Adults Who Received Seasonal Flu Shot,2014,Female,All,43.0,"Portland (Multnomah County), OR",36.8,49.1
18950,Percent of Adults Who Received Seasonal Flu Shot,2014,Female,All,44.2,"San Antonio, TX",39.6,48.9
18951,Percent of Adults Who Received Seasonal Flu Shot,2014,Female,All,45.6,"Columbus, OH",36.5,54.6
18952,Percent of Adults Who Received Seasonal Flu Shot,2014,Female,All,47.0,"New York City, NY",44.9,49.0
18953,Percent of Adults Who Received Seasonal Flu Shot,2014,Female,All,47.0,"U.S. Total, U.S. Total",46.4,47.6
18954,Percent of Adults Who Received Seasonal Flu Shot,2014,Female,All,48.3,"San Diego County, CA",42.0,54.5
18955,Percent of Adults Who Received Seasonal Flu Shot,2014,Female,All,49.2,"Denver, CO",44.3,54.1
18956,Percent of Adults Who Received Seasonal Flu Shot,2014,Female,All,52.0,"Seattle, WA",46.0,59.0
18957,Percent of Adults Who Received Seasonal Flu Shot,2014,Female,All,57.4,"San Francisco, CA",45.1,69.8
18958,Percent of Adults Who Received Seasonal Flu Shot,2014,Male,All,0.6,"Oakland (Alameda County), CA",51.9,73.2
18960,Percent of Adults Who Received Seasonal Flu Shot,2014,Male,All,19.3,"Detroit, MI",13.5,26.7
18961,Percent of Adults Who Received Seasonal Flu Shot,2014,Male,All,30.6,"Las Vegas (Clark County), NV",26.0,35.1
18962,Percent of Adults Who Received Seasonal Flu Shot,2014,Male,All,33.1,"Charlotte, NC",26.1,40.1
18963,Percent of Adults Who Received Seasonal Flu Shot,2014,Male,All,33.1,"Columbus, OH",23.1,43.0
18964,Percent of Adults Who Received Seasonal Flu Shot,2014,Male,All,33.4,"Indianapolis (Marion County), IN",28.8,38.0
18965,Percent of Adults Who Received Seasonal Flu Shot,2014,Male,All,35.0,"San Antonio, TX",30.3,40.1
